"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g19142.t1",142.659367095961,-3.2913721834726,0.384580831525776,110.228252601924,8.23385904995947e-21,3.26452512095073e-20,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g9539.t1",693.2076049494,-1.36346881491191,0.142828369361869,442.537581376917,1.77754949291041e-91,5.11783197380737e-90,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g49172.t1",10.2998451153031,7.6021378441965,2.33950151867684,21.5279567749489,0.0030624915296815,0.00419855153156401,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g21241.t1",12.4142346290174,4.31237190682113,1.14050710972851,36.2988221441922,6.36613195369405e-06,1.14662784654005e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g21812.t1",4.91487343197301,3.89363204482621,1.3214502395344,24.1332592940703,0.00107949605843993,0.00156165417083383,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g48617.t1",16.1185117864043,5.77452122050944,1.39779919985768,30.9626448911526,6.31679567371209e-05,0.000104107967387833,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g45418.t1",24.8198193953647,8.30189406823128,1.21159172769328,92.7964527688424,3.29382223957065e-17,1.13469021747896e-16,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g12843.t1",74.3404425202024,6.52009628281642,0.723389496315177,165.323574607221,2.4282887770598e-32,1.43894753095773e-31,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g14906.t1",34.0837746500068,-2.28707019941177,0.59132845518264,72.832170914768,3.94776295501627e-13,1.12582919859361e-12,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g34770.t2",5.40224634131578,6.86289341256039,1.33615626952769,49.8892839538013,1.51860864066065e-08,3.35108300234242e-08,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g46048.t1",35.255894629126,3.33933086185522,1.08427690980275,40.2276920003699,1.13857236135403e-06,2.18873015060845e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g48640.t1",12595.3883875427,5.04562757560296,0.309584941273798,420.600374921005,9.08826133572973e-87,2.30465335543218e-85,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g27565.t1",141.736045496171,-1.19746549387944,0.361279500156491,38.3043561589778,2.65201623344632e-06,4.94318046276391e-06,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.37943_t",19.5099024070976,4.00081832576473,1.63000672431095,15.6325368927468,0.0286939853724121,0.0346753204676691,"Up at 22 hpf"
